winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2000,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2000,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2000,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2000,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2000,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2001,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2001,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2001,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2001,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2001,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2001,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2002,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2002,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2002,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2002,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2002,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2002,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2003,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2003,March,1,1,1,1,1,1,1,1,1,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2003,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2003,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2003,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2003,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2004,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2004,March,2,2,2,2,2,2,2,2,2,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2004,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2004,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2004,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2004,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2005,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2005,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2005,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2005,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2005,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2005,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2006,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2006,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2006,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2006,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2006,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2006,NA,2,2,2,2,2,2,2,2,2,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2007,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2007,March,1,1,1,1,1,1,1,1,1,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2007,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2007,November,1,1,1,1,1,1,1,1,1,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2007,December,1,1,1,1,1,1,1,1,1,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2007,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2008,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2008,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2008,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2008,November,2,2,2,2,2,2,2,2,2,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2008,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2008,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2009,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2009,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2009,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2009,November,1,1,1,1,1,1,1,1,1,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2009,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2009,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2010,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2010,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2010,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2010,November,1,1,1,1,1,1,1,1,1,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2010,December,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2010,NA,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2011,January,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2011,March,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2011,October,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
2011,November,0,0,0,0,0,0,0,0,0,6767ca6b94accaa78c841c5cef0aa8a2e92b24a5
